ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10168,1,1,1989,0,0,0,0,0,0,0,0,0,0
10168,2,1,1989,0,0,0,0,0,0,0,0,0,0
10169,1,1,1989,0,0,0,0,0,0,0,0,0,0
10169,2,1,1989,0,0,0,0,0,0,0,0,0,0
10170,1,1,1989,0,0,0,0,0,0,0,0,0,0
10170,2,1,1989,0,0,0,0,0,0,0,0,0,0
10171,1,1,1989,0,0,0,0,0,0,0,0,0,0
10171,2,1,1989,0,0,0,0,0,0,0,19,0,0
10172,1,1,1989,0,0,0,0,0,0,0,0,0,0
10173,1,1,1989,0,0,0,0,0,0,0,0,0,0
10173,2,1,1989,0,0,0,0,0,0,0,0,0,0
10174,1,1,1989,0,0,0,0,0,0,0,0,0,0
10174,2,1,1989,0,0,0,0,0,16,0,12,0,0
10175,1,1,1989,5,5,5,5,5,5,5,5,5,5
10175,2,1,1989,11,0,0,0,0,0,0,0,0,0
10175,3,1,1989,0,0,0,0,22,0,0,0,27,0
10176,0,1,1989,24,24,24,24,24,24,24,24,24,24
10176,1,1,1989,0,18,23,0,6,0,21,0,0,0
10177,1,1,1989,0,8,17,19,17,14,0,9,11,7
10178,1,1,1989,20,0,0,0,0,13,0,0,0,0
10178,2,1,1989,0,0,0,0,0,0,0,0,0,0
10178,3,1,1989,0,0,0,0,0,0,0,0,0,0
10178,4,1,1989,0,0,0,0,0,0,0,0,0,0
10179,1,1,1989,20,20,36,7,0,10,25,26,22,6
10181,1,1,1989,0,0,0,0,0,0,0,0,0,0
10181,2,1,1989,0,0,0,0,0,15,0,0,0,0
10182,1,1,1989,0,0,0,0,0,0,0,0,0,0
10183,0,1,1989,14,14,14,14,14,14,14,14,14,14
10183,1,1,1989,0,0,0,0,0,0,0,0,0,9
10184,1,1,1989,2,2,2,2,2,2,2,2,2,2
10185,1,1,1989,7,7,7,7,7,7,7,7,7,7
10186,1,1,1989,0,0,0,0,0,0,0,0,0,0
10186,2,1,1989,0,0,0,0,0,0,0,0,0,0
