ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
421534,1989,20,0,12,0,16,22,0,0,0,18
421535,1989,0,0,35,14,12,0,29,23,0,0
421536,1989,0,0,37,0,0,0,0,0,0,5
421537,1989,14,12,18,35,9,0,13,10,2,9
421538,1989,0,0,0,0,0,0,0,0,0,0
421539,1989,0,0,0,0,0,0,0,0,0,0
421540,1989,0,0,0,0,0,0,56,0,0,0
421541,1989,26,26,26,26,26,26,26,26,26,26
421542,1989,0,0,0,0,0,0,0,0,0,0
421543,1989,0,0,0,0,0,0,0,0,0,0
421544,1989,20,20,20,20,20,20,20,20,20,20
421545,1989,17,25,8,10,0,30,4,21,24,15
421546,1989,0,0,0,0,0,0,0,0,0,0
421547,1989,0,0,0,0,0,0,0,0,0,0
421548,1989,0,0,0,0,0,0,0,0,0,0
421549,1989,1,1,1,1,1,1,1,1,1,4
421550,1989,24,24,24,24,24,24,24,24,24,24
421551,1989,0,0,0,0,0,0,0,0,0,0
421552,1989,0,0,0,0,0,0,0,0,0,0
421553,1989,0,0,0,0,0,0,0,0,0,0
421554,1989,0,15,0,0,0,0,0,0,0,0
421555,1989,25,25,25,25,25,25,25,25,25,25
421556,1989,0,0,0,0,0,0,0,0,0,0
421557,1989,22,22,22,22,22,22,22,22,22,22
421558,1989,8,8,8,8,8,8,8,8,8,8
421559,1989,13,0,0,0,0,7,14,16,0,0
421560,1989,0,0,0,0,0,0,0,0,0,0
421561,1989,0,0,0,0,0,0,0,0,0,0
421562,1989,0,0,0,0,0,0,0,0,0,0
421564,1989,10,10,10,10,10,10,10,10,10,10
421565,1989,24,24,24,24,24,24,24,24,24,24
421566,1989,19,19,19,19,19,19,19,19,19,19
421567,1989,0,0,0,0,0,0,0,0,0,0
421568,1989,23,19,20,39,16,32,26,18,24,19
421569,1989,20,20,20,20,20,20,20,20,20,20
421570,1989,0,0,0,21,29,0,5,0,22,0
421571,1989,16,16,16,16,16,16,16,16,16,16
421572,1989,0,0,0,0,0,0,0,14,0,0
421573,1989,0,0,0,0,0,0,0,0,0,0
421574,1989,0,0,0,0,0,0,0,0,0,0
421575,1989,0,0,0,0,0,0,0,0,0,0
421576,1989,1,1,1,1,1,1,1,1,1,1
421577,1989,23,23,23,23,23,23,23,23,23,23
