ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
50147,1987,0,0,0,0,0,0,0,0,0,0
50148,1987,29,29,29,29,29,29,29,29,29,29
50149,1987,15,15,15,15,15,15,15,15,15,15
50150,1987,0,0,0,0,0,0,0,0,0,0
50151,1987,21,21,21,21,21,21,21,21,21,21
50152,1987,16,16,16,16,16,16,16,16,16,16
50153,1987,0,0,0,0,0,0,0,0,0,0
50154,1987,0,0,18,0,0,8,0,5,0,0
50155,1987,3,3,3,3,3,3,3,3,3,3
50156,1987,23,23,23,23,23,23,23,23,23,23
50157,1987,17,17,17,17,17,17,17,17,17,17
50159,1987,0,0,0,0,0,0,0,0,0,0
50160,1987,13,13,13,13,13,13,13,13,13,13
50161,1987,0,0,0,0,0,0,0,0,0,0
50162,1987,12,12,0,0,0,11,13,12,0,13
50163,1987,12,7,0,21,0,31,4,28,20,15
50164,1987,0,0,0,0,0,0,0,0,0,0
50165,1987,20,24,19,28,17,12,8,33,17,21
50166,1987,0,0,0,0,0,0,0,0,17,0
50167,1987,21,22,13,21,7,23,18,29,14,17
50168,1987,0,0,0,0,0,0,0,0,0,0
50169,1987,14,14,14,14,14,14,14,14,14,14
50170,1987,29,18,22,24,13,26,11,25,35,33
50171,1987,3,15,25,8,12,22,14,17,17,0
50172,1987,34,34,34,34,34,34,34,34,34,34
50173,1987,0,0,0,0,0,0,9,0,0,0
50174,1987,31,31,31,31,31,31,31,31,31,31
50175,1987,58,21,26,22,27,13,13,37,31,24
50176,1987,0,0,0,0,0,0,0,0,0,0
50177,1987,0,0,0,0,0,0,0,0,0,0
50178,1987,17,17,17,17,17,17,17,17,17,17
50179,1987,0,0,0,0,0,0,0,0,0,0
50180,1987,19,7,0,0,0,22,13,22,0,0
50181,1987,14,14,14,14,14,26,14,14,14,14
50182,1987,0,0,0,0,0,0,0,0,0,0
50183,1987,0,0,0,0,0,0,0,0,0,0
50184,1987,0,0,0,0,0,19,11,20,0,0
50185,1987,0,0,0,0,0,0,0,0,0,0
50186,1987,0,5,8,0,0,0,0,0,0,0
50187,1987,12,12,12,12,12,12,12,12,12,12
50188,1987,12,12,12,12,12,12,12,12,12,12
50189,1987,14,14,14,14,14,14,14,14,14,14
50190,1987,13,13,13,13,13,13,13,13,13,13
50191,1987,0,20,0,0,0,0,0,0,0,0
