ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
121031,1984,0,0,2,0,0,0,0,0,0,0
121032,1984,0,0,10,0,12,0,0,0,6,0
121033,1984,0,0,0,0,0,0,0,0,9,0
121034,1984,0,0,0,0,0,0,0,0,0,0
121035,1984,32,32,32,32,32,32,32,32,32,32
121036,1984,0,0,0,0,0,0,0,0,0,0
121037,1984,0,0,15,0,16,0,21,9,0,12
121038,1984,0,0,21,0,0,0,0,0,0,0
121039,1984,19,19,19,19,19,19,19,19,19,19
121040,1984,0,0,0,0,0,0,0,0,0,0
121041,1984,28,28,28,28,28,28,28,28,28,28
121042,1984,0,0,0,0,0,0,0,0,0,0
121043,1984,14,31,27,31,25,38,25,9,13,18
121044,1984,24,24,24,24,24,24,24,24,24,24
121045,1984,12,12,28,12,12,12,12,12,16,12
121046,1984,0,0,0,0,0,0,0,0,0,0
121047,1984,0,0,0,0,0,0,0,0,0,0
121048,1984,0,0,0,0,0,0,0,0,0,0
121049,1984,0,0,0,0,0,0,9,30,0,0
121050,1984,0,7,0,0,9,0,0,0,0,0
121051,1984,0,0,22,0,0,0,0,0,0,0
121052,1984,28,28,28,28,28,28,28,28,28,28
121053,1984,0,0,0,0,0,0,0,0,0,0
121054,1984,23,23,23,23,23,23,23,23,23,23
121055,1984,0,0,0,0,0,0,0,0,0,0
121056,1984,23,16,5,27,27,9,6,29,21,24
121057,1984,23,0,0,0,0,20,0,0,20,0
121058,1984,22,18,7,26,8,8,12,2,26,20
121059,1984,0,0,0,0,0,0,0,0,8,0
121060,1984,0,0,0,0,0,7,0,0,0,0
121061,1984,0,9,0,0,0,0,0,0,0,0
121062,1984,29,29,29,29,29,29,29,29,29,29
121063,1984,11,11,11,11,11,11,11,11,11,11
121064,1984,31,31,31,31,31,31,31,31,31,31
121065,1984,0,22,0,0,0,24,0,0,0,22
121066,1984,0,0,0,0,0,0,0,0,0,0
121067,1984,19,19,19,19,19,19,19,19,19,19
121068,1984,7,14,12,13,10,16,18,3,9,12
121069,1984,0,0,12,0,0,17,0,0,16,0
121070,1984,15,0,17,0,0,0,0,0,0,0
121071,1984,28,13,14,5,6,11,20,9,16,15
121072,1984,0,0,0,0,0,0,0,0,0,0
121073,1984,22,22,22,22,22,22,22,22,22,22
121074,1984,0,0,0,0,0,0,0,0,0,0
121075,1984,0,0,0,0,0,0,0,0,0,0
121076,1984,7,7,7,10,7,7,7,7,7,7
121077,1984,0,13,0,24,0,15,21,0,0,11
121078,1984,15,15,6,11,6,0,8,22,0,16
121079,1984,24,24,24,24,24,24,24,24,24,24
121080,1984,0,0,0,0,0,5,0,0,0,0
