ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10148,1,1,1988,0,0,0,0,0,0,0,0,0,0
10148,2,1,1988,0,0,0,0,0,0,0,0,0,0
10148,3,1,1988,0,0,0,0,0,0,0,0,0,0
10149,1,1,1988,0,0,0,0,0,0,0,0,0,0
10149,2,1,1988,0,0,0,0,0,0,0,0,0,0
10150,1,1,1988,21,21,21,21,21,21,21,21,21,21
10151,1,1,1988,10,0,0,0,22,0,0,0,0,0
10152,0,1,1988,17,17,17,17,17,17,17,17,17,17
10152,1,1,1988,0,0,0,0,0,0,0,0,0,0
10153,1,1,1988,0,0,0,0,0,18,0,0,18,0
10153,2,1,1988,1,1,1,1,1,1,1,1,1,1
10154,1,1,1988,0,0,0,0,0,0,0,0,0,0
10155,1,1,1988,0,0,0,0,0,0,0,0,0,0
10155,2,1,1988,0,0,0,0,0,0,0,0,0,0
10156,1,1,1988,0,0,0,0,0,0,8,0,0,0
10156,2,1,1988,0,0,0,0,0,0,0,0,0,0
10157,0,1,1988,0,10,0,16,19,27,0,25,0,0
10157,1,1,1988,0,0,0,0,0,0,0,0,13,0
10158,0,1,1988,0,0,0,0,0,0,0,0,0,0
10158,1,1,1988,0,0,0,0,0,0,0,0,21,0
10159,1,1,1988,0,0,0,0,0,0,0,0,19,0
10159,2,1,1988,0,0,0,0,23,0,0,0,0,0
10160,0,1,1988,0,0,0,0,0,0,0,0,0,0
10160,1,1,1988,0,0,0,0,0,0,0,0,0,0
10161,1,1,1988,0,0,0,0,0,0,0,0,0,0
10162,1,1,1988,6,6,6,6,6,6,6,6,6,6
10163,1,1,1988,23,23,23,23,23,23,23,23,23,23
10164,1,1,1988,0,0,0,0,0,0,0,0,0,0
10164,2,1,1988,0,0,0,0,0,0,0,0,0,0
10165,1,1,1988,18,9,13,4,18,15,12,8,20,10
10165,2,1,1988,0,0,0,0,10,0,0,0,21,0
10166,1,1,1988,21,21,21,21,21,21,21,21,21,21
10167,1,1,1988,30,30,30,30,30,30,30,30,30,30
10168,1,1,1988,0,0,0,0,0,0,0,0,0,0
10168,2,1,1988,0,0,0,0,0,0,0,0,0,0
10169,1,1,1988,0,0,0,0,0,0,0,0,0,0
10169,2,1,1988,8,0,0,0,0,0,0,0,0,0
10169,3,1,1988,0,0,0,0,0,0,0,0,0,0
10170,1,1,1988,0,0,0,0,0,0,0,0,0,0
10170,2,1,1988,0,0,0,0,0,0,0,0,0,0
10171,1,1,1988,19,19,19,19,19,19,19,19,19,19
10171,2,1,1988,0,0,0,0,0,0,0,0,0,0
10172,1,1,1988,19,19,19,19,19,19,19,19,19,19
10173,0,1,1988,29,29,29,29,29,29,29,29,29,29
10173,1,1,1988,0,0,17,0,0,0,0,0,0,0
10174,2,1,1988,9,9,9,9,9,9,9,9,9,9
10175,1,1,1988,9,9,9,9,9,9,9,9,9,9
10176,1,1,1988,0,0,0,0,0,0,0,0,0,0
10176,2,1,1988,0,0,0,0,0,0,0,0,0,0
10177,1,1,1988,0,0,7,0,0,0,0,0,0,0
10177,2,1,1988,0,0,0,0,0,0,0,0,0,0
10178,1,1,1988,17,17,17,17,17,17,17,17,17,17
10178,2,1,1988,0,0,0,0,0,0,0,0,0,0
10179,1,1,1988,22,22,22,22,22,22,22,22,22,22
10180,1,1,1988,0,0,0,0,0,0,0,0,0,0
10180,2,1,1988,0,0,0,0,0,0,0,0,0,0
10180,3,1,1988,0,0,0,0,0,0,0,0,0,0
10181,1,1,1988,1,1,1,1,1,1,1,1,1,1
10181,2,1,1988,0,0,0,0,0,0,0,0,0,0
10182,1,1,1988,0,0,0,0,0,0,0,0,0,0
10182,2,1,1988,0,0,0,0,0,0,0,0,0,0
10183,1,1,1988,0,0,0,0,0,0,0,15,0,0
10183,2,1,1988,0,0,0,0,0,0,0,0,0,0
10184,1,1,1988,0,0,0,0,0,0,0,0,0,0
10185,1,1,1988,16,15,0,8,7,3,24,32,2,4
10185,2,1,1988,0,0,0,0,0,0,0,0,0,0
10186,1,1,1988,0,0,0,0,0,0,0,0,0,0
10187,1,1,1988,20,20,20,20,20,20,20,20,20,20
10188,1,1,1988,0,0,0,0,0,0,0,0,0,0
10189,1,1,1988,0,0,0,0,0,0,0,15,0,0
10189,2,1,1988,0,0,0,0,0,0,0,0,0,0
10189,3,1,1988,21,0,0,0,0,0,0,0,0,0
10189,4,1,1988,0,0,0,0,0,0,0,0,0,0
10190,1,1,1988,0,0,0,0,0,0,0,0,0,0
10190,2,1,1988,0,0,0,0,0,0,0,0,0,0
10191,0,1,1988,0,0,0,0,0,0,0,0,0,0
10191,1,1,1988,0,0,0,0,0,0,0,0,0,0
10192,1,1,1988,16,16,16,16,16,16,16,16,16,16
10193,1,1,1988,0,0,0,0,0,0,0,0,0,0
10193,2,1,1988,0,0,0,0,0,0,0,0,0,0
10194,1,1,1988,10,0,0,0,7,0,13,0,18,0
10195,1,1,1988,15,15,15,15,15,15,15,15,15,15
10195,2,1,1988,0,0,0,0,0,0,0,0,0,0
10196,0,1,1988,0,0,0,0,0,0,0,0,0,0
10196,1,1,1988,0,0,0,0,0,0,0,0,0,0
10197,1,1,1988,23,23,23,23,23,23,23,23,23,23
10197,2,1,1988,0,4,0,0,0,0,27,0,0,0
10198,1,1,1988,0,0,0,0,0,0,0,0,0,0
10199,1,1,1988,4,24,17,13,0,29,28,13,15,3
10200,1,1,1988,25,25,25,25,25,25,25,25,25,25
10201,1,1,1988,0,0,0,0,0,0,0,0,0,0
10201,2,1,1988,0,0,0,0,0,0,0,0,0,0
10202,0,1,1988,0,0,0,0,0,0,0,0,0,0
10202,1,1,1988,0,0,0,0,0,0,0,0,0,0
10203,0,1,1988,0,0,0,0,0,0,0,0,0,0
10203,1,1,1988,22,22,22,22,22,22,22,22,22,22
10204,1,1,1988,11,7,11,22,15,20,34,17,11,11
10205,1,1,1988,17,17,17,17,17,17,17,17,17,17
10206,1,1,1988,0,0,0,0,0,0,0,0,0,0
10206,2,1,1988,0,0,0,0,0,0,0,0,0,0
10207,1,1,1988,19,19,19,19,19,19,19,19,19,19
10208,1,1,1988,3,3,3,3,3,3,3,3,3,3
10209,1,1,1988,12,12,12,12,12,12,12,12,12,12
10210,1,1,1988,17,31,17,25,9,31,20,43,21,33
10211,0,1,1988,0,0,0,0,0,0,0,0,0,0
10211,1,1,1988,0,0,0,0,26,0,0,0,0,0
10212,1,1,1988,3,3,3,3,3,3,3,3,3,3
10213,1,1,1988,17,17,17,17,17,17,17,17,17,17
10214,1,1,1988,0,0,0,0,0,0,0,0,0,0
10214,2,1,1988,0,0,0,0,0,0,9,0,0,0
10215,1,1,1988,8,8,8,8,8,8,8,8,8,8
10216,1,1,1988,0,0,0,0,0,0,0,0,0,0
10217,1,1,1988,0,0,0,0,0,0,0,0,0,0
10217,2,1,1988,0,0,0,0,0,0,0,0,0,0
10218,1,1,1988,0,0,0,0,0,0,0,0,0,0
10218,2,1,1988,0,0,0,0,0,0,0,0,0,0
10219,1,1,1988,10,10,10,10,10,10,10,10,10,10
10220,1,1,1988,8,0,13,19,15,12,23,28,19,18
10221,1,1,1988,0,29,19,0,14,34,0,16,16,19
10222,1,1,1988,18,18,18,18,18,18,18,18,18,18
10223,1,1,1988,22,22,22,22,22,22,22,22,22,22
10223,2,1,1988,24,0,24,7,24,0,17,26,0,0
10224,0,1,1988,0,0,0,0,0,0,0,0,0,0
10224,1,1,1988,29,29,29,29,29,29,29,29,29,29
10225,1,1,1988,31,31,31,31,31,31,31,31,31,31
10226,1,1,1988,18,18,18,18,18,18,18,18,18,18
10226,2,1,1988,0,0,24,0,0,8,0,0,0,0
10227,1,1,1988,0,0,10,0,0,0,0,0,0,0
10228,1,1,1988,0,0,0,0,0,0,0,0,0,0
10229,1,1,1988,0,11,0,15,10,0,20,0,27,14
10230,1,1,1988,13,13,13,13,13,13,13,13,13,13
10231,1,1,1988,10,10,10,10,10,10,10,10,10,10
10232,1,1,1988,0,0,0,0,0,0,0,0,0,0
10232,2,1,1988,0,0,0,0,0,0,0,0,0,0
10233,1,1,1988,0,0,0,0,0,0,0,0,0,0
10233,2,1,1988,0,0,0,0,0,0,0,0,0,0
10234,0,1,1988,0,0,0,0,0,0,0,4,0,0
10234,1,1,1988,0,0,0,20,0,0,0,0,0,0
10235,1,1,1988,38,0,0,0,0,0,0,0,0,0
10235,2,1,1988,23,23,23,23,23,23,23,23,23,23
10236,1,1,1988,0,0,0,0,0,0,0,12,0,0
10236,2,1,1988,0,0,22,0,0,0,0,0,0,0
10237,1,1,1988,0,0,0,0,0,0,0,0,0,0
10237,2,1,1988,0,0,0,0,0,0,0,0,0,0
10238,0,1,1988,0,0,0,0,0,0,0,0,0,0
10238,1,1,1988,0,0,0,0,0,0,0,0,0,0
10239,1,1,1988,7,7,7,7,7,7,7,7,7,7
10239,2,1,1988,0,0,0,0,0,0,0,0,0,0
10240,1,1,1988,0,0,21,0,19,0,7,0,0,0
10240,2,1,1988,17,17,17,17,17,17,17,17,17,17
10241,1,1,1988,7,7,7,7,7,7,7,7,7,7
10241,2,1,1988,15,9,10,12,12,10,32,7,14,22
10242,1,1,1988,0,0,0,0,0,0,0,0,0,0
10243,1,1,1988,7,7,7,7,7,7,7,7,7,7
10244,1,1,1988,8,8,8,8,8,8,8,8,8,8
10244,2,1,1988,0,0,0,0,0,0,0,0,0,0
10245,0,1,1988,33,33,33,33,33,33,33,33,33,33
10245,1,1,1988,0,0,0,0,0,0,0,0,0,0
10246,1,1,1988,0,0,0,0,0,0,0,0,0,0
10246,2,1,1988,0,0,0,0,0,0,0,0,0,0
10247,1,1,1988,9,9,9,9,9,9,9,9,9,9
10248,1,1,1988,0,27,25,31,21,0,7,22,22,29
10249,0,1,1988,0,0,0,0,0,0,0,0,0,0
10249,1,1,1988,0,0,0,0,0,0,0,0,0,0
10250,1,1,1988,0,0,0,0,0,0,0,0,0,0
10251,1,1,1988,0,0,0,0,0,0,0,0,0,0
10251,2,1,1988,20,20,20,20,20,20,20,20,20,20
10252,1,1,1988,31,31,31,31,31,31,31,31,31,31
10253,1,1,1988,0,0,0,0,0,0,0,0,0,0
10254,0,1,1988,20,0,0,30,0,0,0,0,0,13
10254,1,1,1988,0,0,0,0,0,0,0,0,0,0
10255,1,1,1988,0,17,0,0,0,0,0,23,17,0
10256,1,1,1988,0,6,0,0,0,0,0,0,0,0
10256,2,1,1988,0,0,0,0,0,0,0,0,0,0
10257,1,1,1988,0,0,0,0,0,0,0,0,0,0
10257,2,1,1988,0,0,0,0,0,0,0,0,0,0
10258,1,1,1988,21,21,21,21,21,21,21,21,21,21
10259,1,1,1988,0,0,7,0,0,0,0,0,0,0
